Time,Temperature (°C)_wrf,Wind Speed (m/s)_wrf,Wind Direction (°)_wrf
1/7/2019 0:00,26.821533,9.410368,234.27138
1/7/2019 1:00,26.263062,3.914805,237.7625
1/7/2019 2:00,25.904968,4.045215,233.20947
1/7/2019 3:00,25.710693,3.4498322,242.04665
1/7/2019 4:00,25.609406,2.9947925,245.1914
1/7/2019 5:00,25.500305,2.7923536,246.16074
1/7/2019 6:00,25.42453,2.5851693,235.90717
1/7/2019 7:00,25.426453,2.459661,224.4305
1/7/2019 8:00,25.226288,1.5261401,222.14783
1/7/2019 9:00,24.976288,1.283769,205.76428
1/7/2019 10:00,24.539581,1.4927511,177.44873
1/7/2019 11:00,24.130371,1.3213165,185.52077
1/7/2019 12:00,24.55429,0.97069186,145.90631
1/7/2019 13:00,26.768616,1.2489841,173.69543
1/7/2019 14:00,29.128082,1.3248745,194.16226
1/7/2019 15:00,30.957886,1.9353334,216.59029
1/7/2019 16:00,31.393097,3.1393282,233.35648
1/7/2019 17:00,31.140411,3.4929934,230.09615
1/7/2019 18:00,31.04184,3.794916,234.74109
1/7/2019 19:00,30.210388,4.1526494,237.37567
1/7/2019 20:00,29.319336,4.207856,238.53802
1/7/2019 21:00,28.195557,4.085631,239.01718
1/7/2019 22:00,26.888702,3.8432515,243.37428
1/7/2019 23:00,26.079498,3.1819596,250.11554
1/8/2019 0:00,25.695435,3.1956923,248.14229
1/8/2019 1:00,25.5018,3.1927009,250.95288
1/8/2019 2:00,25.37738,3.6126685,251.40947
1/8/2019 3:00,25.30069,3.4609509,257.2552
1/8/2019 4:00,25.336182,3.5978432,254.23984
1/8/2019 5:00,25.437408,3.0902894,255.4498
1/8/2019 6:00,25.615662,2.8800697,260.00888
1/8/2019 7:00,25.519714,1.9698802,227.34933
1/8/2019 8:00,25.478943,2.513867,217.20221
1/8/2019 9:00,25.218811,2.049845,226.89413
1/8/2019 10:00,25.215088,2.1465359,203.3798
1/8/2019 11:00,25.150177,2.6291533,197.5023
1/8/2019 12:00,25.295319,2.7644658,180.4419
1/8/2019 13:00,25.33435,2.7590961,173.65387
1/8/2019 14:00,26.432281,2.331282,157.22424
1/8/2019 15:00,29.109406,1.9831839,160.29071
1/8/2019 16:00,31.413483,1.7528638,188.37405
1/8/2019 17:00,31.136658,3.1665237,220.62392
1/8/2019 18:00,31.041412,4.123808,227.91945
1/8/2019 19:00,30.49228,4.5754514,227.87624
1/8/2019 20:00,29.682068,4.39915,228.48488
1/8/2019 21:00,28.638641,4.3326774,229.99876
1/8/2019 22:00,27.176392,3.9206522,230.48709
1/8/2019 23:00,26.148407,3.474328,232.8245
1/9/2019 0:00,25.796692,3.2229557,236.5148
1/9/2019 1:00,25.619568,2.7046063,238.07285
1/9/2019 2:00,25.493378,2.6026647,244.61145
1/9/2019 3:00,25.393799,3.0335903,242.93231
1/9/2019 4:00,25.350616,2.9849424,242.51138
1/9/2019 5:00,25.345612,2.8363895,244.42795
1/9/2019 6:00,25.369171,2.7406838,244.31668
1/9/2019 7:00,25.343964,1.7284173,232.82014
1/9/2019 8:00,25.507263,2.515371,219.04185
1/9/2019 9:00,25.391235,1.9243449,215.90585
1/9/2019 10:00,25.373383,2.8038254,214.04218
1/9/2019 11:00,25.466309,2.2088497,206.78122
1/9/2019 12:00,24.70877,2.489122,172.22925
1/9/2019 13:00,25.106384,2.4499302,170.88617
1/9/2019 14:00,26.668854,2.113673,147.66144
1/9/2019 15:00,28.971527,1.7581717,137.44019
1/9/2019 16:00,31.257935,2.1290326,204.37988
1/9/2019 17:00,30.077332,3.7630222,245.5795
1/9/2019 18:00,29.986084,3.4070058,242.4812
1/9/2019 19:00,29.585785,3.633506,243.99817
1/9/2019 20:00,29.506287,3.5364347,240.89319
1/9/2019 21:00,28.31372,3.1207225,232.51947
1/9/2019 22:00,27.158264,2.48859,226.72078
1/9/2019 23:00,26.423248,2.1520905,252.77179
1/10/2019 0:00,26.108398,2.6003644,255.27507
1/10/2019 1:00,25.812744,2.4833596,243.32825
1/10/2019 2:00,25.747742,1.8166263,254.78104
1/10/2019 3:00,25.515015,1.9896555,254.01163
1/10/2019 4:00,25.3497,2.5428393,252.92554
1/10/2019 5:00,25.26947,2.518257,252.18434
1/10/2019 6:00,25.18573,2.2997508,244.66466
1/10/2019 7:00,25.131042,1.9568216,245.7146
1/10/2019 8:00,25.13565,1.9935054,243.14882
1/10/2019 9:00,25.144531,2.218033,244.44919
1/10/2019 10:00,25.323914,2.0338583,237.05304
1/10/2019 11:00,25.48233,2.2723622,226.2724
1/10/2019 12:00,25.521912,2.8174567,220.53987
1/10/2019 13:00,26.215881,3.116484,220.1217
1/10/2019 14:00,27.359894,3.6093557,210.65372
1/10/2019 15:00,28.496277,3.573825,214.79572
1/10/2019 16:00,29.253448,3.6209922,221.4735
1/10/2019 17:00,29.810852,3.9282444,224.81735
1/10/2019 18:00,29.863983,4.3437076,227.0936
1/10/2019 19:00,29.452637,4.5158086,233.45944
1/10/2019 20:00,28.58844,4.7831154,237.43759
1/10/2019 21:00,27.697601,4.519534,238.59036
1/10/2019 22:00,26.595215,3.9510772,240.32062
1/10/2019 23:00,25.629822,3.428646,243.9121
1/11/2019 0:00,25.29837,3.1520162,245.84082
1/11/2019 1:00,25.116882,2.9290373,244.98166
1/11/2019 2:00,24.950409,2.924805,245.49878
1/11/2019 3:00,24.834656,3.0720937,247.78021
1/11/2019 4:00,24.780365,3.1182244,246.61478
1/11/2019 5:00,24.983734,3.4742374,245.64606
1/11/2019 6:00,24.97882,3.3755577,243.09293
1/11/2019 7:00,24.94226,3.0302167,242.36264
1/11/2019 8:00,24.898865,2.9736035,245.48859
1/11/2019 9:00,25.088531,3.2487419,244.19397
1/11/2019 10:00,25.198944,3.212277,240.39569
1/11/2019 11:00,24.917511,3.4857047,238.32574
1/11/2019 12:00,24.98111,3.3468137,238.30547
1/11/2019 13:00,26.49939,4.3752356,233.32076
1/11/2019 14:00,27.679352,4.625294,230.20523
1/11/2019 15:00,28.861115,4.22639,228.68726
1/11/2019 16:00,30.082123,3.574139,228.10909
1/11/2019 17:00,30.429565,3.8829985,227.67256
1/11/2019 18:00,30.071411,4.4250236,230.29684
1/11/2019 19:00,29.372223,4.791695,238.36218
1/11/2019 20:00,28.534668,4.95869,239.39409
1/11/2019 21:00,27.624725,4.9368463,240.16953
1/11/2019 22:00,26.546692,4.4309235,240.95132
1/11/2019 23:00,25.670166,3.433873,245.2455
1/12/2019 0:00,25.386963,2.9485302,246.41096
1/12/2019 1:00,25.450104,3.231729,245.2583
1/12/2019 2:00,25.334045,3.831952,243.4537
1/12/2019 3:00,25.383667,4.0863423,244.07742
1/12/2019 4:00,25.19986,3.5084014,246.59998
1/12/2019 5:00,25.209442,3.1813903,246.84164
1/12/2019 6:00,24.997864,2.9784732,246.85078
1/12/2019 7:00,24.923492,2.8843732,239.15195
1/12/2019 8:00,24.889008,2.9104924,236.17674
1/12/2019 9:00,24.79654,2.6530921,235.18283
1/12/2019 10:00,24.721527,2.4750457,230.23521
1/12/2019 11:00,24.895416,3.0371447,224.85695
1/12/2019 12:00,25.37323,2.7982907,221.01599
1/12/2019 13:00,27.245087,3.557245,215.7869
1/12/2019 14:00,28.679718,3.927682,214.75908
1/12/2019 15:00,29.753021,3.9314082,214.91766
1/12/2019 16:00,30.415527,4.0251603,220.97314
1/12/2019 17:00,30.400421,4.583218,223.86633
1/12/2019 18:00,30.000732,4.859416,226.93083
1/12/2019 19:00,29.404602,5.0818596,229.00458
1/12/2019 20:00,28.728882,5.2864914,232.68741
1/12/2019 21:00,27.920105,4.78545,233.91032
1/12/2019 22:00,26.69455,4.575333,234.97589
1/12/2019 23:00,25.870483,3.8412352,236.486
1/13/2019 0:00,25.619812,3.1544144,237.80545
1/13/2019 1:00,25.475372,3.2713523,235.19072
1/13/2019 2:00,25.39981,3.5973387,230.14082
1/13/2019 3:00,25.30426,3.2204928,229.86877
1/13/2019 4:00,25.28656,3.0836,231.24147
1/13/2019 5:00,25.344421,2.6762667,231.8796
1/13/2019 6:00,25.500916,2.9342506,226.74455
1/13/2019 7:00,25.523132,3.5479674,226.12831
1/13/2019 8:00,25.4346,3.9037092,223.38506
1/13/2019 9:00,25.17157,4.004637,224.06036
1/13/2019 10:00,24.959045,3.5874462,223.51155
1/13/2019 11:00,24.918427,3.462179,225.8183
1/13/2019 12:00,25.390808,3.4448686,224.0408
1/13/2019 13:00,26.912598,4.6434116,216.44395
1/13/2019 14:00,28.31305,4.753515,213.8881
1/13/2019 15:00,29.170898,5.0656366,216.6958
1/13/2019 16:00,29.828308,4.9898977,219.52747
1/13/2019 17:00,29.896698,5.2511673,222.195
