Time,Temperature_obs,WindSpeed_obs,WindDirection_obs
3/30/2019 0:00,24.7,5.04,32.7
3/30/2019 1:00,24.72,5.05,32.79
3/30/2019 2:00,24.58,5.06,35.36
3/30/2019 3:00,24.56,3.01,35.37
3/30/2019 4:00,24.79,3.32,47.84
3/30/2019 5:00,24.68,3.36,44.77
3/30/2019 6:00,24.64,3.68,51.96
3/30/2019 7:00,24.7,3.6,60.06
3/30/2019 8:00,25,3.32,54.41
3/30/2019 9:00,26.21,3.13,64.29
3/30/2019 10:00,27.79,2.24,55.4
3/30/2019 11:00,28.88,2.94,58.84
3/30/2019 12:00,29.36,3.69,42.57
3/30/2019 13:00,30.08,4.55,29.61
3/30/2019 14:00,29.44,6,43.23
3/30/2019 15:00,28.95,6.51,42.67
3/30/2019 16:00,28.23,6.63,33.15
3/30/2019 17:00,27.27,6.58,37.31
3/30/2019 18:00,26.39,6.79,39.63
3/30/2019 19:00,25.58,6.22,39.18
3/30/2019 20:00,25.45,6.3,36.63
3/30/2019 21:00,25.32,6.6,35.95
3/30/2019 22:00,25.33,6.48,34.84
3/30/2019 23:00,25.32,6.69,34.03
3/31/2019 0:00,25.26,6.57,34.74
3/31/2019 1:00,25.2,5.85,34.48
3/31/2019 2:00,25.13,5.21,31.82
3/31/2019 3:00,25.08,4.23,32.43
3/31/2019 4:00,25.05,3.05,42.94
3/31/2019 5:00,24.99,2.91,51.5
3/31/2019 6:00,25.01,2.26,33.67
3/31/2019 7:00,25.11,2.46,47.66
3/31/2019 8:00,25.88,2.31,47.22
3/31/2019 9:00,27.36,2.59,51.79
3/31/2019 10:00,28.93,2.75,45.28
3/31/2019 11:00,30.6,2.86,40.87
3/31/2019 12:00,30.19,5.23,35.35
3/31/2019 13:00,29.8,5.84,43.51
3/31/2019 14:00,29.57,6.91,38.64
3/31/2019 15:00,28.75,7.27,38.84
3/31/2019 16:00,27.95,7.97,37.34
3/31/2019 17:00,27.31,7.43,38.25
3/31/2019 18:00,26.17,7.5,37.65
3/31/2019 19:00,25.63,6.91,36.55
3/31/2019 20:00,25.52,7.17,37.23
3/31/2019 21:00,25.56,6.6,36.57
3/31/2019 22:00,25.52,6.29,36.5
3/31/2019 23:00,25.48,5.4,39.34
4/1/2019 0:00,25.25,4.76,37.92
4/1/2019 1:00,25.34,3.3,40.97
4/1/2019 2:00,25.3,2.84,62.53
4/1/2019 3:00,25.43,1.9,72.06
4/1/2019 4:00,25.27,0.67,58.51
4/1/2019 5:00,25.11,1.96,52.99
4/1/2019 6:00,25.27,2.17,75.44
4/1/2019 7:00,25.44,0.67,112.83
4/1/2019 8:00,25.94,1.58,86.57
4/1/2019 9:00,26.91,2.12,65.19
4/1/2019 10:00,27.97,1.83,47.52
4/1/2019 11:00,29.04,3.65,46.86
4/1/2019 12:00,29.41,4.26,39.52
4/1/2019 13:00,29.17,5.74,42.98
