Time,Temperature_obs,WindSpeed_obs,WindDirection_obs
1/7/2019 0:00,11,1,11
1/7/2019 1:00,11,1,1
1/7/2019 2:00,11,1,6
1/7/2019 3:00,10,0,325
1/7/2019 4:00,10,0,104
1/7/2019 5:00,9,1,338
1/7/2019 6:00,9,0,208
1/7/2019 7:00,9,1,3
1/7/2019 8:00,11,1,359
1/7/2019 9:00,13,1,359
1/7/2019 10:00,15,1,320
1/7/2019 11:00,19,1,278
1/7/2019 12:00,20,1,347
1/7/2019 13:00,22,2,289
1/7/2019 14:00,23,3,282
1/7/2019 15:00,23,3,270
1/7/2019 16:00,21,2,267
1/7/2019 17:00,19,1,217
1/7/2019 18:00,17,1,55
1/7/2019 19:00,13,0,89
1/7/2019 20:00,13,0,18
1/7/2019 21:00,12,0,3
1/7/2019 22:00,11,0,300
1/7/2019 23:00,10,0,352
1/8/2019 0:00,10,1,358
1/8/2019 1:00,11,1,8
1/8/2019 2:00,10,1,3
1/8/2019 3:00,10,1,341
1/8/2019 4:00,9,0,14
1/8/2019 5:00,9,1,2
1/8/2019 6:00,9,1,9
1/8/2019 7:00,9,1,1
1/8/2019 8:00,9,1,14
1/8/2019 9:00,12,1,349
1/8/2019 10:00,17,0,2
1/8/2019 11:00,20,2,345
1/8/2019 12:00,21,1,4
1/8/2019 13:00,22,3,286
1/8/2019 14:00,21,2,275
1/8/2019 15:00,19,2,303
1/8/2019 16:00,19,0,281
1/8/2019 17:00,17,0,244
1/8/2019 18:00,17,0,236
1/8/2019 19:00,15,0,205
1/8/2019 20:00,14,0,60
1/8/2019 21:00,13,0,29
1/8/2019 22:00,13,1,36
1/8/2019 23:00,12,0,10
1/9/2019 0:00,11,0,330
1/9/2019 1:00,11,0,30
1/9/2019 2:00,10,0,354
1/9/2019 3:00,10,0,357
1/9/2019 4:00,10,1,351
1/9/2019 5:00,9,1,0
1/9/2019 6:00,9,1,4
1/9/2019 7:00,10,1,3
1/9/2019 8:00,11,1,344
1/9/2019 9:00,15,0,256
1/9/2019 10:00,17,0,271
1/9/2019 11:00,20,1,313
1/9/2019 12:00,20,1,284
1/9/2019 13:00,21,2,271
1/9/2019 14:00,19,2,296
1/9/2019 15:00,20,3,294
1/9/2019 16:00,19,1,343
1/9/2019 17:00,18,1,290
1/9/2019 18:00,16,1,232
1/9/2019 19:00,14,1,193
1/9/2019 20:00,14,0,194
1/9/2019 21:00,13,0,208
1/9/2019 22:00,13,0,129
1/9/2019 23:00,12,0,69
1/10/2019 0:00,12,0,222
1/10/2019 1:00,12,0,35
1/10/2019 2:00,11,0,31
1/10/2019 3:00,11,0,313
1/10/2019 4:00,11,0,342
1/10/2019 5:00,11,0,56
1/10/2019 6:00,11,0,10
1/10/2019 7:00,12,0,268
1/10/2019 8:00,13,1,286
1/10/2019 9:00,14,1,304
1/10/2019 10:00,16,0,257
1/10/2019 11:00,17,0,260
1/10/2019 12:00,19,1,262
1/10/2019 13:00,18,3,27
1/10/2019 14:00,18,2,283
1/10/2019 15:00,18,2,335
1/10/2019 16:00,20,2,318
1/10/2019 17:00,18,1,9
1/10/2019 18:00,17,1,272
1/10/2019 19:00,14,1,190
1/10/2019 20:00,14,0,192
1/10/2019 21:00,13,0,157
1/10/2019 22:00,13,0,157
1/10/2019 23:00,12,0,74
1/11/2019 0:00,11,1,196
1/11/2019 1:00,12,1,360
1/11/2019 2:00,12,1,9
1/11/2019 3:00,12,0,352
1/11/2019 4:00,12,0,280
1/11/2019 5:00,11,0,163
1/11/2019 6:00,11,0,41
1/11/2019 7:00,11,0,19
1/11/2019 8:00,13,1,342
1/11/2019 9:00,14,1,340
1/11/2019 10:00,16,1,295
1/11/2019 11:00,17,1,295
1/11/2019 12:00,20,2,206
1/11/2019 13:00,21,2,202
1/11/2019 14:00,21,5,251
1/11/2019 15:00,20,3,268
1/11/2019 16:00,20,2,271
1/11/2019 17:00,19,1,275
1/11/2019 18:00,17,1,278
1/11/2019 19:00,14,1,210
1/11/2019 20:00,13,0,183
1/11/2019 21:00,13,0,173
1/11/2019 22:00,12,1,355
1/11/2019 23:00,12,0,342
1/12/2019 0:00,12,0,12
1/12/2019 1:00,10,0,5
1/12/2019 2:00,11,0,16
1/12/2019 3:00,11,0,359
1/12/2019 4:00,10,1,346
1/12/2019 5:00,10,0,27
1/12/2019 6:00,9,0,67
1/12/2019 7:00,9,1,1
1/12/2019 8:00,11,1,4
1/12/2019 9:00,14,1,348
1/12/2019 10:00,17,1,4
1/12/2019 11:00,19,1,306
1/12/2019 12:00,19,1,128
1/12/2019 13:00,20,1,152
1/12/2019 14:00,20,1,5
1/12/2019 15:00,19,1,82
1/12/2019 16:00,18,1,325
1/12/2019 17:00,17,1,349
1/12/2019 18:00,16,2,197
1/12/2019 19:00,15,2,169
1/12/2019 20:00,14,1,155
1/12/2019 21:00,13,1,142
1/12/2019 22:00,13,1,141
1/12/2019 23:00,13,1,109
1/13/2019 0:00,12,0,116
1/13/2019 1:00,12,0,334
1/13/2019 2:00,12,0,67
1/13/2019 3:00,11,0,323
1/13/2019 4:00,10,0,241
1/13/2019 5:00,10,1,81
1/13/2019 6:00,9,0,33
1/13/2019 7:00,9,1,337
1/13/2019 8:00,12,1,346
1/13/2019 9:00,15,1,41
1/13/2019 10:00,18,2,180
1/13/2019 11:00,21,2,158
1/13/2019 12:00,22,2,148
1/13/2019 13:00,22,1,135
1/13/2019 14:00,20,1,142
1/13/2019 15:00,18,1,174
1/13/2019 16:00,16,1,183
1/13/2019 17:00,14,0,190
1/13/2019 18:00,14,1,134
1/13/2019 19:00,13,1,228
1/13/2019 20:00,12,0,128
1/13/2019 21:00,12,0,298
1/13/2019 22:00,12,1,341
1/13/2019 23:00,12,1,10
1/14/2019 0:00,12,1,347
1/14/2019 1:00,12,0,28
1/14/2019 2:00,12,2,292
1/14/2019 3:00,12,1,101
1/14/2019 4:00,12,1,125
1/14/2019 5:00,12,1,78
1/14/2019 6:00,12,1,109
1/14/2019 7:00,12,1,49
1/14/2019 8:00,13,2,94
1/14/2019 9:00,14,2,90
1/14/2019 10:00,17,2,93
1/14/2019 11:00,18,2,123
1/14/2019 12:00,18,3,98
1/14/2019 13:00,19,3,167
1/14/2019 14:00,20,3,160
1/14/2019 15:00,20,2,90
1/14/2019 16:00,19,1,110
1/14/2019 17:00,17,1,101
1/14/2019 18:00,16,0,119
1/14/2019 19:00,15,2,147
1/14/2019 20:00,14,1,175
1/14/2019 21:00,13,2,122
1/14/2019 22:00,13,1,126
1/14/2019 23:00,12,1,117
1/15/2019 0:00,11,0,66
1/15/2019 1:00,11,0,168
1/15/2019 2:00,9,0,349
1/15/2019 3:00,9,1,311
1/15/2019 4:00,8,1,33
1/15/2019 5:00,8,0,14
1/15/2019 6:00,8,0,308
1/15/2019 7:00,8,0,349
1/15/2019 8:00,14,1,347
1/15/2019 9:00,17,1,275
1/15/2019 10:00,19,1,213
1/15/2019 11:00,18,1,93
1/15/2019 12:00,20,1,80
1/15/2019 13:00,21,2,109
1/15/2019 14:00,21,2,108
1/15/2019 15:00,21,2,132
1/15/2019 16:00,21,2,124
1/15/2019 17:00,21,2,124
1/15/2019 18:00,19,0,140
1/15/2019 19:00,15,1,215
1/15/2019 20:00,14,2,140
1/15/2019 21:00,13,2,160
1/15/2019 22:00,13,1,115
1/15/2019 23:00,14,1,112
1/16/2019 0:00,14,1,76
1/16/2019 1:00,13,1,6
1/16/2019 2:00,13,0,4
1/16/2019 3:00,12,1,60
1/16/2019 4:00,11,0,109
1/16/2019 5:00,9,1,6
1/16/2019 6:00,8,0,13
1/16/2019 7:00,8,1,13
1/16/2019 8:00,13,1,341
1/16/2019 9:00,14,1,21
1/16/2019 10:00,17,1,47
1/16/2019 11:00,17,1,325
1/16/2019 12:00,19,2,102
1/16/2019 13:00,18,2,73
1/16/2019 14:00,18,1,52
1/16/2019 15:00,19,1,155
1/16/2019 16:00,19,1,304
1/16/2019 17:00,19,1,335
1/16/2019 18:00,17,1,53
1/16/2019 19:00,15,1,103
1/16/2019 20:00,14,2,118
1/16/2019 21:00,13,1,134
1/16/2019 22:00,13,1,125
1/16/2019 23:00,10,0,9
1/17/2019 0:00,9,1,33
1/17/2019 1:00,9,1,337
1/17/2019 2:00,8,1,30
1/17/2019 3:00,8,1,13
1/17/2019 4:00,7,0,140
1/17/2019 5:00,9,0,59
1/17/2019 6:00,9,0,250
1/17/2019 7:00,10,1,355
1/17/2019 8:00,12,1,339
1/17/2019 9:00,16,1,118
1/17/2019 10:00,17,2,98
1/17/2019 11:00,18,1,91
1/17/2019 12:00,19,1,57
1/17/2019 13:00,20,2,87
1/17/2019 14:00,21,2,104
1/17/2019 15:00,23,2,144
1/17/2019 16:00,22,2,131
1/17/2019 17:00,20,1,114
1/17/2019 18:00,19,1,183
1/17/2019 19:00,15,0,209
1/17/2019 20:00,13,0,115
1/17/2019 21:00,13,1,187
1/17/2019 22:00,12,1,37
1/17/2019 23:00,12,0,189
1/18/2019 0:00,12,1,24
1/18/2019 1:00,13,0,36
1/18/2019 2:00,12,1,299
1/18/2019 3:00,13,1,357
1/18/2019 4:00,12,0,102
1/18/2019 5:00,10,0,50
1/18/2019 6:00,9,1,68
1/18/2019 7:00,9,0,12
1/18/2019 8:00,12,0,325
1/18/2019 9:00,18,1,17
1/18/2019 10:00,19,1,52
1/18/2019 11:00,19,2,77
1/18/2019 12:00,20,2,117
1/18/2019 13:00,20,2,107
1/18/2019 14:00,20,2,111
1/18/2019 15:00,19,2,119
1/18/2019 16:00,20,1,102
1/18/2019 17:00,17,3,82
1/18/2019 18:00,16,1,98
1/18/2019 19:00,14,1,327
1/18/2019 20:00,12,1,37
1/18/2019 21:00,11,0,41
1/18/2019 22:00,10,0,46
1/18/2019 23:00,10,1,28
1/19/2019 0:00,11,1,57
1/19/2019 1:00,11,0,6
