Time,Temperature (°C)_wrf,Wind Speed (m/s)_wrf,Wind Direction (°)_wrf
1/7/2019 0:00,12.51181,1.0659589,149.10623
1/7/2019 1:00,10.843445,2.005198,274.2708
1/7/2019 2:00,10.911835,2.7557168,251.98866
1/7/2019 3:00,9.970154,1.9396542,275.8283
1/7/2019 4:00,9.647736,2.2278275,260.76038
1/7/2019 5:00,10.05545,1.0515628,264.13196
1/7/2019 6:00,9.510986,1.976738,269.51495
1/7/2019 7:00,10.001404,0.9958401,236.59787
1/7/2019 8:00,10.274994,0.88072324,221.93373
1/7/2019 9:00,10.365509,0.76553756,295.94644
1/7/2019 10:00,10.650604,0.7419104,90.09607
1/7/2019 11:00,9.295319,1.3561486,258.75934
1/7/2019 12:00,10.057709,2.101804,259.2987
1/7/2019 13:00,12.594666,1.646589,260.928
1/7/2019 14:00,15.245575,1.0246807,266.1653
1/7/2019 15:00,17.104523,0.45313877,224.16519
1/7/2019 16:00,18.752655,0.18616924,314.914
1/7/2019 17:00,19.63919,0.8591881,336.5429
1/7/2019 18:00,19.972229,2.9453888,358.80804
1/7/2019 19:00,19.431244,2.9227216,19.318512
1/7/2019 20:00,18.391632,4.7673764,20.548187
1/7/2019 21:00,16.325409,3.832757,61.61801
1/7/2019 22:00,13.372467,0.6779673,89.43652
1/7/2019 23:00,13.425812,0.402876,179.60999
1/8/2019 0:00,13.487061,2.3268976,255.36346
1/8/2019 1:00,12.789642,2.1825645,168.1311
1/8/2019 2:00,12.715729,0.5548124,264.4343
1/8/2019 3:00,12.89389,0.8104437,219.05397
1/8/2019 4:00,12.375275,0.7114252,240.24734
1/8/2019 5:00,12.22702,0.9681526,290.9553
1/8/2019 6:00,12.044769,0.8203307,245.0727
1/8/2019 7:00,11.667114,1.0079261,283.5665
1/8/2019 8:00,10.773621,1.9325808,255.38603
1/8/2019 9:00,10.480133,1.4803779,263.6104
1/8/2019 10:00,9.586609,1.769415,261.5004
1/8/2019 11:00,9.30011,2.0971973,265.96414
1/8/2019 12:00,10.2213745,1.7907513,254.40857
1/8/2019 13:00,12.788086,0.7645281,289.58853
1/8/2019 14:00,14.496002,0.60812926,250.97902
1/8/2019 15:00,15.741058,1.1314143,225.34306
1/8/2019 16:00,16.717224,1.3206828,195.28139
1/8/2019 17:00,17.25528,0.8369946,174.95532
1/8/2019 18:00,18.644806,1.1402239,193.93141
1/8/2019 19:00,18.22165,1.3984599,236.89896
1/8/2019 20:00,17.197205,3.481072,341.27966
