Time,Temperature_obs,WindSpeed_obs,WindDirection_obs
1/7/2019 0:00,23.6,0.7,120.1
1/7/2019 1:00,22.9,0.5,191.6
1/7/2019 2:00,23,0.6,200.3
1/7/2019 3:00,22.8,1.1,178
1/7/2019 4:00,22.7,0.5,195.7
1/7/2019 5:00,22.9,1.4,136.9
1/7/2019 6:00,22.5,0.7,207.6
1/7/2019 7:00,22.5,0.7,81.1
1/7/2019 8:00,22.9,1.1,167.2
1/7/2019 9:00,23.3,0.5,174.3
1/7/2019 10:00,23.8,1.3,53.2
1/7/2019 11:00,24.1,0.8,90.3
1/7/2019 12:00,25.3,2,261
1/7/2019 13:00,26.2,2.8,292.3
1/7/2019 14:00,27.1,2.4,202.1
1/7/2019 15:00,23.9,1.8,141
1/7/2019 16:00,22.2,1.5,222
1/7/2019 17:00,22.4,1,228.9
1/7/2019 18:00,22,0.9,238.6
1/7/2019 19:00,21.8,0.8,244.9
1/7/2019 20:00,21.7,1.7,248.6
1/7/2019 21:00,22,0.8,138.3
1/7/2019 22:00,22.1,0.7,139.8
1/7/2019 23:00,21.4,0.8,244.2
1/8/2019 0:00,21,0.6,219.4
1/8/2019 1:00,20.8,0.9,241.4
1/8/2019 2:00,20.6,0.8,226.4
1/8/2019 3:00,20.5,0.6,241.3
1/8/2019 4:00,20.4,0.6,214.2
1/8/2019 5:00,20.4,0.5,196.1
1/8/2019 6:00,20.3,0.6,229.4
1/8/2019 7:00,20.7,0.6,231.8
1/8/2019 8:00,22.7,0.6,152.6
1/8/2019 9:00,24.5,1.6,135.2
1/8/2019 10:00,26.1,1.5,130.3
1/8/2019 11:00,26,1,168.9
1/8/2019 12:00,26.4,1.7,216.2
1/8/2019 13:00,27.8,1.7,151.8
1/8/2019 14:00,28.3,1.8,167
1/8/2019 15:00,25.1,1.5,54.5
1/8/2019 16:00,26.4,3.2,276.2
1/8/2019 17:00,25.7,5.1,300.6
1/8/2019 18:00,25.1,4,322.7
1/8/2019 19:00,24.6,1.7,245.5
1/8/2019 20:00,24.2,1.1,222.3
1/8/2019 21:00,23.6,0.8,155.4
1/8/2019 22:00,22.9,0.6,119.3
1/8/2019 23:00,22.6,0.7,179.9
1/9/2019 0:00,22.5,0.9,148.2
1/9/2019 1:00,22.3,0.8,205.1
1/9/2019 2:00,20.5,2.5,238.4
1/9/2019 3:00,19.7,0.9,206.2
1/9/2019 4:00,20.1,0.5,187.3
1/9/2019 5:00,20,0.7,188.9
1/9/2019 6:00,19.8,0.7,193.9
1/9/2019 7:00,19.7,0.6,187.8
1/9/2019 8:00,19.8,0.8,216
1/9/2019 9:00,19.9,0.5,190.7
1/9/2019 10:00,20.7,0.6,133.1
1/9/2019 11:00,22,1.1,162.5
1/9/2019 12:00,22.3,1.8,241.7
1/9/2019 13:00,22,1.9,246.8
1/9/2019 14:00,22.3,1.1,241.8
1/9/2019 15:00,24.1,1,210.7
1/9/2019 16:00,24.8,0.8,167.2
1/9/2019 17:00,24.4,0.6,118.7
1/9/2019 18:00,23.3,1.1,252.1
1/9/2019 19:00,22.7,0.9,225.9
1/9/2019 20:00,22.2,1.1,226.4
1/9/2019 21:00,21.6,0.7,243.9
1/9/2019 22:00,20.5,0.9,223.6
1/9/2019 23:00,20.1,1.2,237.8
1/10/2019 0:00,20.3,0.8,224.4
1/10/2019 1:00,20.3,0.5,183.9
1/10/2019 2:00,20.3,0.5,179.2
1/10/2019 3:00,20.1,0.6,206
1/10/2019 4:00,20,0.7,242.5
1/10/2019 5:00,20.2,0.3,137
1/10/2019 6:00,20.3,0.4,208.3
1/10/2019 7:00,20.8,0.8,222.3
1/10/2019 8:00,22.5,0.9,164.5
1/10/2019 9:00,24.4,1.8,162.1
1/10/2019 10:00,24.9,1.1,139.1
1/10/2019 11:00,25.5,0.8,172.1
1/10/2019 12:00,26.2,1.1,154.8
1/10/2019 13:00,26.4,1,160.6
1/10/2019 14:00,24.4,1.4,269.6
1/10/2019 15:00,25.2,0.5,150.7
1/10/2019 16:00,26.2,0.9,169
1/10/2019 17:00,25.5,2.1,284.6
1/10/2019 18:00,24.7,2.8,312.6
1/10/2019 19:00,24.5,2.7,283.5
1/10/2019 20:00,24.1,2.9,270.6
1/10/2019 21:00,22.4,0.9,221.3
1/10/2019 22:00,21.3,1.1,237.5
1/10/2019 23:00,21.2,0.8,203.1
1/11/2019 0:00,20.6,0.7,196.7
1/11/2019 1:00,19.8,0.8,243.4
1/11/2019 2:00,20,0.7,213
1/11/2019 3:00,20,0.6,186.1
1/11/2019 4:00,19.6,0.9,206.4
1/11/2019 5:00,19.4,1,238.3
1/11/2019 6:00,19.5,0.8,236.6
1/11/2019 7:00,21.2,0.7,136.4
1/11/2019 8:00,23.5,0.7,107
1/11/2019 9:00,25.5,1,119.5
1/11/2019 10:00,26.6,1.6,109.7
1/11/2019 11:00,27.8,1.4,131.5
1/11/2019 12:00,28.2,1.1,164.1
1/11/2019 13:00,29.1,1.5,164.5
1/11/2019 14:00,28.7,1.1,193.1
1/11/2019 15:00,28.1,3.2,298.6
1/11/2019 16:00,27.1,4,306
1/11/2019 17:00,26.3,5,302.9
1/11/2019 18:00,25.5,4.8,298.2
1/11/2019 19:00,25.1,3.1,309.8
1/11/2019 20:00,24.9,2.4,247.2
1/11/2019 21:00,23.9,0.7,183.9
1/11/2019 22:00,22.2,0.7,236.3
1/11/2019 23:00,21.8,0.7,228.3
1/12/2019 0:00,21.6,0.8,231.1
1/12/2019 1:00,21.1,0.8,237.1
1/12/2019 2:00,20.6,0.9,230.7
1/12/2019 3:00,20.9,0.6,221.2
1/12/2019 4:00,20.9,0.5,213.9
1/12/2019 5:00,20.9,0.5,204.6
1/12/2019 6:00,21,0.7,227.8
1/12/2019 7:00,21.5,0.6,203.3
1/12/2019 8:00,22.9,0.7,174.7
1/12/2019 9:00,25.2,1.1,165.4
1/12/2019 10:00,26.7,1.4,119.9
1/12/2019 11:00,27.8,1.6,140.9
1/12/2019 12:00,28.7,1.3,151.8
