Time,Temperature (°C)_wrf,Wind Speed (m/s)_wrf,Wind Direction (°)_wrf
1/7/2019 0:00,18.889435,0.5257082,64.1199
1/7/2019 1:00,18.844482,0.68055654,45.64087
1/7/2019 2:00,18.34488,0.05603345,98.52429
1/7/2019 3:00,18.094543,0.10442506,351.6981
1/7/2019 4:00,18.308716,0.29780555,20.730957
1/7/2019 5:00,18.100922,0.8892823,195.49506
1/7/2019 6:00,17.832703,0.8046464,59.078003
1/7/2019 7:00,18.261475,0.56797177,59.12085
1/7/2019 8:00,19.55307,0.8134766,227.55959
1/7/2019 9:00,21.410522,1.2551147,219.43591
1/7/2019 10:00,23.749023,1.5577469,223.9401
1/7/2019 11:00,25.44754,2.28546,236.466
1/7/2019 12:00,26.782318,2.5319989,237.23584
1/7/2019 13:00,27.500153,3.1552675,250.0523
1/7/2019 14:00,27.544281,3.355284,242.74661
1/7/2019 15:00,25.733032,4.00367,266.37534
1/7/2019 16:00,24.79773,4.646605,258.89917
1/7/2019 17:00,22.226532,6.584519,250.96231
1/7/2019 18:00,21.747284,2.17454,96.052124
1/7/2019 19:00,20.828766,1.0808604,129.31049
1/7/2019 20:00,20.749634,0.8415073,257.3046
1/7/2019 21:00,20.628876,0.41908702,85.003784
1/7/2019 22:00,20.281433,1.4936447,250.15457
1/7/2019 23:00,19.944855,1.6272249,218.47949
1/8/2019 0:00,19.704224,0.23059122,173.87701
1/8/2019 1:00,19.347473,1.0728277,126.253784
1/8/2019 2:00,19.545654,0.54915744,187.60753
1/8/2019 3:00,19.345032,1.8580643,244.99524
1/8/2019 4:00,18.97522,2.7394276,234.93608
1/8/2019 5:00,18.878937,2.3593817,228.3617
1/8/2019 6:00,18.98996,1.612094,208.53555
1/8/2019 7:00,18.968933,1.7315472,214.65619
1/8/2019 8:00,19.713959,1.7606467,203.8305
1/8/2019 9:00,20.70343,1.3955929,224.95438
1/8/2019 10:00,22.261536,2.1419654,223.64272
1/8/2019 11:00,22.423798,1.9360039,229.57442
1/8/2019 12:00,24.986938,3.108486,240.3165
1/8/2019 13:00,25.162598,3.2343237,244.03465
1/8/2019 14:00,25.911041,3.0191965,245.48438
1/8/2019 15:00,25.981903,3.5487382,259.09775
1/8/2019 16:00,23.988068,4.3696675,247.44243
1/8/2019 17:00,22.981201,2.596375,281.0397
1/8/2019 18:00,21.886566,2.2725315,236.835
1/8/2019 19:00,20.969604,3.2101953,250.65158
1/8/2019 20:00,20.250061,3.5334446,253.66852
1/8/2019 21:00,19.960419,3.1444306,249.41768
1/8/2019 22:00,19.632599,3.2961001,240.77081
1/8/2019 23:00,19.400177,3.271179,235.0886
1/9/2019 0:00,19.355896,2.9415429,229.80357
1/9/2019 1:00,19.128479,2.5395236,224.40125
1/9/2019 2:00,18.742828,2.1737769,220.96439
1/9/2019 3:00,18.554169,1.4542478,192.8148
1/9/2019 4:00,18.774231,1.6324376,202.76794
1/9/2019 5:00,18.762268,1.170505,185.87656
1/9/2019 6:00,18.459503,1.4789928,196.99747
1/9/2019 7:00,18.512299,1.1879318,207.90091
1/9/2019 8:00,19.290558,1.070112,205.2171
1/9/2019 9:00,20.93222,1.4300038,209.73376
1/9/2019 10:00,23.193604,1.0877993,156.8811
1/9/2019 11:00,25.298523,1.4906523,126.178986
1/9/2019 12:00,26.10736,2.9183943,89.885284
1/9/2019 13:00,25.712189,2.7200222,64.29703
1/9/2019 14:00,26.305237,2.8169954,77.68915
1/9/2019 15:00,25.10617,2.5415895,60.056152
1/9/2019 16:00,24.596863,1.5951775,58.118103
1/9/2019 17:00,22.095428,1.2421889,10.225006
1/9/2019 18:00,21.37973,0.48578885,143.82562
1/9/2019 19:00,20.956451,0.5317789,78.43973
1/9/2019 20:00,20.421478,1.8253732,238.09387
1/9/2019 21:00,19.865356,2.3151128,243.26958
1/9/2019 22:00,19.471191,2.8383784,245.11984
1/9/2019 23:00,19.370667,2.3864422,239.16428
1/10/2019 0:00,19.290924,1.5022262,249.26295
1/10/2019 1:00,19.150696,0.84768796,225.88182
1/10/2019 2:00,18.979126,0.07930625,106.37555
1/10/2019 3:00,18.769379,0.4011394,288.63202
1/10/2019 4:00,18.381073,0.707077,212.51604
1/10/2019 5:00,18.411255,0.6895741,250.75983
1/10/2019 6:00,18.234985,0.35188696,198.29265
1/10/2019 7:00,18.351562,0.7225517,353.1157
1/10/2019 8:00,19.183014,0.9863264,210.09201
1/10/2019 9:00,20.487,0.6541902,216.26907
1/10/2019 10:00,21.361115,2.436833,250.43053
1/10/2019 11:00,23.135498,2.1593425,251.6546
1/10/2019 12:00,25.058136,2.3066454,263.09717
1/10/2019 13:00,26.428925,2.2918162,253.1465
1/10/2019 14:00,26.49231,3.5402222,248.65463
1/10/2019 15:00,25.619751,4.735074,249.32391
1/10/2019 16:00,24.13919,5.3000207,257.6999
1/10/2019 17:00,22.284882,5.0172515,246.3551
1/10/2019 18:00,20.893646,2.399384,250.22859
1/10/2019 19:00,19.919464,4.4117036,247.89206
1/10/2019 20:00,19.658844,3.377502,253.12622
1/10/2019 21:00,19.381897,2.3406298,240.975
1/10/2019 22:00,19.02362,2.2639513,241.40408
1/10/2019 23:00,18.739136,2.2903075,240.62106
1/11/2019 0:00,18.859863,1.4068934,241.41887
1/11/2019 1:00,18.489594,1.5098857,238.37904
1/11/2019 2:00,18.418701,1.4582943,209.69174
1/11/2019 3:00,18.374756,1.1350262,227.57997
1/11/2019 4:00,18.418915,1.6006176,231.83836
1/11/2019 5:00,17.928162,3.8661354,256.4231
1/11/2019 6:00,17.908264,3.2200458,237.78195
1/11/2019 7:00,17.89795,2.5097241,226.1006
1/11/2019 8:00,18.103607,1.9046946,215.35382
1/11/2019 9:00,18.865692,1.6567996,218.25255
1/11/2019 10:00,19.68274,1.8456542,225.97578
1/11/2019 11:00,22.730865,1.7457143,223.67189
1/11/2019 12:00,23.7583,2.5343797,235.96095
1/11/2019 13:00,24.962616,2.1132517,217.01042
1/11/2019 14:00,24.542267,2.1745627,183.4417
1/11/2019 15:00,25.569763,3.2236795,250.45134
1/11/2019 16:00,24.04718,5.089583,255.32513
1/11/2019 17:00,22.43274,5.5353594,257.65637
1/11/2019 18:00,20.997711,5.454129,258.8576
1/11/2019 19:00,20.088196,5.216615,257.30515
1/11/2019 20:00,19.6044,4.104546,254.29845
1/11/2019 21:00,19.204895,3.8092902,251.19028
1/11/2019 22:00,19.231018,3.536186,246.677
1/11/2019 23:00,18.818237,3.1124852,247.2668
1/12/2019 0:00,18.656921,2.297468,231.21458
1/12/2019 1:00,18.122192,1.5161927,232.39703
1/12/2019 2:00,18.366486,0.75829,157.44598
1/12/2019 3:00,17.855804,1.0263311,112.4075
1/12/2019 4:00,17.745972,0.45387444,122.30487
1/12/2019 5:00,17.409088,0.66428375,94.40198
1/12/2019 6:00,17.03418,0.6843975,120.78656
1/12/2019 7:00,17.35736,0.42951372,69.134094
1/12/2019 8:00,19.229736,0.6229708,211.73862
1/12/2019 9:00,21.480469,1.9479091,224.6944
1/12/2019 10:00,23.6633,2.0625238,227.78511
1/12/2019 11:00,25.309021,2.4785612,234.00403
1/12/2019 12:00,25.610413,2.8979034,246.78877
1/12/2019 13:00,26.44403,4.1269484,233.53607
1/12/2019 14:00,26.496765,4.411054,248.06076
1/12/2019 15:00,26.191406,4.7410703,250.97476
1/12/2019 16:00,25.09082,4.8084345,251.62326
1/12/2019 17:00,23.384705,4.673373,256.27368
1/12/2019 18:00,22.203522,5.1377096,258.91418
1/12/2019 19:00,21.220306,4.4251347,260.67078
1/12/2019 20:00,20.575897,4.411391,255.51294
1/12/2019 21:00,19.80664,4.4237657,255.48148
1/12/2019 22:00,19.52478,3.5282996,252.06873
1/12/2019 23:00,19.53897,3.2274919,254.84863
1/13/2019 0:00,18.887756,3.0941982,261.08524
1/13/2019 1:00,18.929596,1.6144522,252.5722
1/13/2019 2:00,18.86905,1.7056499,222.45163
1/13/2019 3:00,18.7099,2.5455773,234.9274
1/13/2019 4:00,18.889587,2.3618543,243.9118
1/13/2019 5:00,18.798798,2.6061437,243.48929
1/13/2019 6:00,18.813171,1.9480363,222.64487
1/13/2019 7:00,18.620697,1.5732142,199.42798
1/13/2019 8:00,18.705566,1.5852418,169.7962
1/13/2019 9:00,19.466736,0.7085801,190.3649
1/13/2019 10:00,20.100372,2.0134258,227.18425
1/13/2019 11:00,21.150055,2.540768,237.69681
1/13/2019 12:00,21.851624,2.438781,235.86145
1/13/2019 13:00,22.304749,1.535667,214.07584
1/13/2019 14:00,21.460327,2.499627,95.74356
1/13/2019 15:00,20.310425,1.1816384,257.34286
1/13/2019 16:00,20.380646,1.2833468,197.33398
1/13/2019 17:00,20.267578,0.4561446,105.84186
1/13/2019 18:00,20.033783,0.5964563,87.44928
1/13/2019 19:00,19.793701,0.29818413,276.61237
1/13/2019 20:00,19.674194,0.4402561,237.78995
1/13/2019 21:00,19.431152,0.6188928,223.20909
1/13/2019 22:00,18.980621,0.7186961,198.46626
1/13/2019 23:00,19.10199,0.64136004,112.88727
1/14/2019 0:00,18.468536,0.76667243,176.09503
1/14/2019 1:00,18.011108,0.75607896,83.13431
1/14/2019 2:00,17.893036,0.6914247,113.633545
1/14/2019 3:00,18.007507,0.3302418,156.86438
1/14/2019 4:00,17.508728,0.46968177,261.5113
1/14/2019 5:00,17.556519,0.19403897,64.97571
1/14/2019 6:00,17.146729,0.40327418,259.46906
