Time,Temperature_obs,WindSpeed_obs,WindDirection_obs
3/30/2019 0:00,19.8,4.3,261.3
3/30/2019 1:00,18.8,4.9,315.8
3/30/2019 2:00,19.2,1.7,162
3/30/2019 3:00,18.8,0.7,136.5
3/30/2019 4:00,18.4,0.8,257.5
3/30/2019 5:00,18.3,0.5,238.8
3/30/2019 6:00,18.5,0.6,208.4
3/30/2019 7:00,18.9,1.5,48.7
3/30/2019 8:00,20.2,1.1,127.1
3/30/2019 9:00,21.6,1.2,168.3
3/30/2019 10:00,23.9,1.9,163.3
3/30/2019 11:00,24.2,3.4,201.5
3/30/2019 12:00,25.5,3.1,189.7
3/30/2019 13:00,26.6,3.8,265.8
3/30/2019 14:00,26.8,4.8,246.5
3/30/2019 15:00,25.7,3.4,167.8
3/30/2019 16:00,24.6,1.8,145.9
3/30/2019 17:00,24.5,3.8,209.3
3/30/2019 18:00,24.1,5.1,322.3
3/30/2019 19:00,23.5,4.4,293.1
3/30/2019 20:00,22.4,5.6,328.4
3/30/2019 21:00,22.4,4.4,214.7
3/30/2019 22:00,21.5,6,300.7
3/30/2019 23:00,21.2,5.6,324.3
3/31/2019 0:00,20.8,4.1,186
3/31/2019 1:00,20.4,3.3,229.8
3/31/2019 2:00,20,4.3,334.4
3/31/2019 3:00,20.2,1.7,104.3
3/31/2019 4:00,19.9,2.9,114.9
3/31/2019 5:00,19.9,1.6,214
3/31/2019 6:00,19.9,1.3,304.1
3/31/2019 7:00,21.6,0.5,155.2
3/31/2019 8:00,23.8,0.8,177.2
3/31/2019 9:00,24.4,1,186.6
3/31/2019 10:00,26.1,1.5,173.7
3/31/2019 11:00,26.4,2.4,164.3
3/31/2019 12:00,27.1,3.7,241.2
3/31/2019 13:00,26.5,4.4,238.3
3/31/2019 14:00,23.8,2.5,181.5
3/31/2019 15:00,24.3,2.8,165.1
3/31/2019 16:00,24.1,1.7,191.1
3/31/2019 17:00,24.5,1.2,147.9
3/31/2019 18:00,24.2,1.7,115.6
3/31/2019 19:00,24.1,5.3,232.3
3/31/2019 20:00,22.9,6.1,326.3
3/31/2019 21:00,22.4,4.2,276.7
3/31/2019 22:00,21.9,4,160.4
3/31/2019 23:00,21.8,3.9,237.3
4/1/2019 0:00,21.3,3.2,134.9
4/1/2019 1:00,19.9,6.2,313.4
4/1/2019 2:00,18.7,4.2,174.3
4/1/2019 3:00,18.4,1.5,195.1
4/1/2019 4:00,18.1,1,146.8
4/1/2019 5:00,18,1.5,238.8
4/1/2019 6:00,18.6,0.7,211.5
4/1/2019 7:00,19.9,0.3,149
4/1/2019 8:00,20.7,0.6,213.6
4/1/2019 9:00,21.8,0.7,186.6
4/1/2019 10:00,22.9,0.9,205.5
4/1/2019 11:00,23.9,1.2,208.8
4/1/2019 12:00,24.6,1.7,177.9
4/1/2019 13:00,23.5,5.7,213.9
4/1/2019 14:00,24,4.8,181.4
4/1/2019 15:00,23.5,3,111.5
4/1/2019 16:00,22.5,0.9,162.2
4/1/2019 17:00,22.2,2.7,143.5
4/1/2019 18:00,19.4,2.3,200.4
4/1/2019 19:00,17.9,1.2,195
4/1/2019 20:00,18.6,0.8,230
4/1/2019 21:00,18.7,0.8,147.2
4/1/2019 22:00,18.9,0.7,143.8
4/1/2019 23:00,18.8,0.9,167.6
4/2/2019 0:00,18.6,0.7,140.2
4/2/2019 1:00,18.7,0.8,161.2
4/2/2019 2:00,18.7,0.4,223.4
4/2/2019 3:00,18.9,0.8,123.5
4/2/2019 4:00,19,1.1,202.5
4/2/2019 5:00,17.7,3,283.8
4/2/2019 6:00,17.6,2.7,91.8
4/2/2019 7:00,18.1,3.4,180.4
4/2/2019 8:00,18.8,1.9,81.5
4/2/2019 9:00,19.7,2,80.4
4/2/2019 10:00,20.7,1.7,84.7
